product_name,price,source,product_url,image_url
Air cooler Bajaj. Good working condition,Rs. 2499,olx.in,https://www.olx.in/item/air-cooler-bajaj-good-working-condition-ID1fyxNP.html#23d3a08383,https://img01.olx.in/images_olxin/424107247_1_144x108_air-cooler-bajaj-good-working-condition-nashik.jpg
White Whirlpool Air Cooler,Rs. 11000,olx.in,https://www.olx.in/item/white-whirlpool-air-cooler-ID1fyxBw.html#23d3a08383,https://img01.olx.in/images_olxin/424105887_1_144x108_white-whirlpool-air-cooler-kozhikode.jpg
White And Blue Air Cooler,Rs. 600,olx.in,https://www.olx.in/item/white-and-blue-air-cooler-ID1fyvPH.html#23d3a08383,https://img01.olx.in/images_olxin/424100699_1_144x108_white-and-blue-air-cooler-delhi.jpg
White And Maroon Portable Air Cooler,Rs. 4000,olx.in,https://www.olx.in/item/white-and-maroon-portable-air-cooler-ID1fyvzf.html#23d3a08383,https://img01.olx.in/images_olxin/424098793_1_144x108_white-and-maroon-portable-air-cooler-allahabad.jpg
Compton Greaves submersible 1.5 hp 14 stage oil cooler which is not wo,Rs. 3000,olx.in,https://www.olx.in/item/compton-greaves-submersible-1-5-hp-14-stage-oil-cooler-which-is-not-wo-ID1fyvuF.html#23d3a08383,https://img01.olx.in/images_olxin/424098365_1_144x108_compton-greaves-submersible-15-hp-14-stage-oil-cooler-which-is-not-wo-hyderabad.jpg
White Desert Air Cooler,Rs. 3800,olx.in,https://www.olx.in/item/white-desert-air-cooler-ID1fyvtf.html#23d3a08383,https://img01.olx.in/images_olxin/424098217_1_144x108_white-desert-air-cooler-jaipur.jpg
White Portable Air Cooler,Rs. 6000,olx.in,https://www.olx.in/item/white-portable-air-cooler-ID1fyvnd.html#23d3a08383,https://img01.olx.in/images_olxin/424097695_1_144x108_white-portable-air-cooler-navi-mumbai.jpg
Cooler for sale,Rs. 2000,olx.in,https://www.olx.in/item/cooler-for-sale-ID1fyvgb.html#23d3a08383,https://img01.olx.in/images_olxin/424096941_1_144x108_cooler-for-sale-noida.jpg
branded water cooler With separate slot for ice,Rs. 1200,olx.in,https://www.olx.in/item/branded-water-cooler-with-separate-slot-for-ice-ID1fyv6X.html#23d3a08383,https://img01.olx.in/images_olxin/424095759_1_144x108_branded-water-cooler-with-separate-slot-for-ice-navi-mumbai_rev004.jpg
Room Cooler - Symphony Brand,Rs. 1800,olx.in,https://www.olx.in/item/room-cooler-symphony-brand-ID1eG9DP.html#23d3a08383,https://img01.olx.in/images_olxin/401445011_2_144x108_room-cooler-symphony-brand-upload-photos_rev001.jpg
White And Gray Air Cooler,Rs. 5000,olx.in,https://www.olx.in/item/white-and-gray-air-cooler-ID1fywHr.html#23d3a08383,https://img01.olx.in/images_olxin/424091357_1_144x108_white-and-gray-air-cooler-delhi.jpg
Cooler with Stand,Rs. 2000,olx.in,https://www.olx.in/item/cooler-with-stand-ID1e8ziB.html#23d3a08383,https://img01.olx.in/images_olxin/387616223_1_144x108_cooler-with-stand-gurgaon.jpg
Oppo a57 new mobile 2 mouth use bilakc cooler,Rs. 11999,olx.in,https://www.olx.in/item/oppo-a57-new-mobile-2-mouth-use-bilakc-cooler-ID1fywmF.html#23d3a08383,https://img01.olx.in/images_olxin/424090253_1_144x108_oppo-a57-new-mobile-2-mouth-use-bilakc-cooler-ahmedabad.jpg
Orient Cooler in great condition.Price negotiateble,Rs. 4000,olx.in,https://www.olx.in/item/orient-cooler-in-great-condition-price-negotiateble-ID1fyw2J.html#23d3a08383,https://img01.olx.in/images_olxin/424088435_1_144x108_orient-cooler-in-great-conditionprice-negotiateble-mumbai.jpg
kenstar air cooler good condition rarely used planning for ac,Rs. 2600,olx.in,https://www.olx.in/item/kenstar-air-cooler-good-condition-rarely-used-planning-for-ac-ID1bFwlt.html#23d3a08383,https://img03.olx.in/images_olxin/327628529_1_144x108_kenstar-air-cooler-good-condition-rarely-used-planning-for-ac-pune_rev003.jpg
